player_id,match_id,goals,assists,minutesplayed,saves,fouls,yellow_cards,red_cards,clean_sheet,goals_conceded
883774,15590545,0,0,90,3,0,0,0,0,0
805366,15590545,0,0,90,0,0,0,0,0,0
2125216,15590545,0,0,90,0,1,0,0,0,0
1121487,15590545,0,0,90,0,1,0,0,0,0
874980,15590545,0,0,90,0,0,0,0,0,0
1016974,15590545,0,0,88,0,1,0,0,0,0
989228,15590545,0,1,89,0,0,0,0,0,0
883729,15590545,0,0,70,0,0,0,0,0,0
1170641,15590545,0,0,90,0,3,0,0,0,0
1098306,15590545,1,0,89,0,4,0,0,0,0
805451,15590545,0,0,70,0,1,0,0,0,0
976302,15590545,1,0,20,0,0,0,0,0,0
972824,15590545,1,1,20,0,0,0,0,0,0
991108,15590545,0,0,11,0,0,0,0,0,0
1089808,15590545,0,0,10,0,0,0,0,0,0
873706,15590545,0,0,1,0,0,0,0,0,0
2454293,15590545,0,0,0,0,0,0,0,0,0
883720,15590545,0,0,0,0,0,0,0,0,0
914484,15590545,0,0,0,0,0,0,0,0,0
883299,15590545,0,0,0,0,0,0,0,0,0
989232,15590545,0,0,90,2,0,0,0,0,0
176159,15590545,0,0,90,0,0,0,0,0,0
971200,15590545,0,0,90,0,1,0,0,0,0
895589,15590545,1,0,90,0,0,0,0,0,0
248437,15590545,0,0,75,0,2,0,0,0,0
1017480,15590545,0,0,45,0,1,0,0,0,0
249403,15590545,0,0,81,0,0,0,0,0,0
978543,15590545,0,0,90,0,3,0,0,0,0
924783,15590545,0,1,90,0,3,0,0,0,0
897059,15590545,0,0,81,0,1,0,0,0,0
1016972,15590545,0,0,90,0,1,0,0,0,0
1170640,15590545,0,0,45,0,0,0,0,0,0
47401,15590545,0,0,15,0,0,0,0,0,0
984613,15590545,0,0,9,0,0,0,0,0,0
1020999,15590545,0,0,9,0,0,0,0,0,0
805115,15590545,0,0,0,0,0,0,0,0,0
976933,15590545,0,0,0,0,0,0,0,0,0
884997,15590545,0,0,0,0,0,0,0,0,0
882839,15590545,0,0,0,0,0,0,0,0,0
960225,15590545,0,0,0,0,0,0,0,0,0
