player_id,match_id,minutesplayed,goals,assists,saves,fouls,yellow_cards,red_cards,clean_sheet,goals_conceded
590180,15362077,90,0,0,0,0,0,0,0,0
975241,15362077,90,0,0,0,0,0,0,0,0
1627994,15362077,90,0,0,0,0,0,0,0,0
1017778,15362077,90,1,0,0,0,0,0,0,0
760636,15362077,90,0,0,0,2,0,0,0,0
1116337,15362077,90,0,0,0,1,0,0,0,0
939946,15362077,65,0,0,0,0,0,0,0,0
1159651,15362077,65,0,0,0,0,0,0,0,0
1644875,15362077,84,0,0,0,0,0,0,0,0
220439,15362077,90,0,0,0,1,0,0,0,0
1800727,15362077,79,0,0,0,2,0,0,0,0
874981,15362077,25,0,0,0,0,0,0,0,0
1017756,15362077,25,0,0,0,1,0,0,0,0
1466550,15362077,11,0,0,0,1,0,0,0,0
1107891,15362077,13,0,0,0,0,0,0,0,0
1860231,15362077,0,0,0,0,0,0,0,0,0
1118109,15362077,0,0,0,0,0,0,0,0,0
1107889,15362077,0,0,0,0,0,0,0,0,0
1639672,15362077,0,0,0,0,0,0,0,0,0
1523086,15362077,0,0,0,0,0,0,0,0,0
973678,15362077,90,0,0,2,0,0,0,0,0
876927,15362077,90,0,0,0,0,0,0,0,0
976931,15362077,81,0,0,0,0,0,0,0,0
175977,15362077,90,0,0,0,1,0,0,0,0
1016982,15362077,90,0,0,0,1,0,0,0,0
973566,15362077,90,0,0,0,2,0,0,0,0
830880,15362077,70,0,0,0,0,0,0,0,0
831183,15362077,70,0,0,0,0,0,0,0,0
829029,15362077,90,0,0,0,0,0,0,0,0
586956,15362077,90,0,0,0,0,0,0,0,0
325609,15362077,90,0,0,0,1,0,0,0,0
339475,15362077,20,0,0,0,0,0,0,0,0
923196,15362077,20,0,0,0,0,0,0,0,0
830742,15362077,9,0,0,0,1,0,0,0,0
312282,15362077,0,0,0,0,0,0,0,0,0
942164,15362077,0,0,0,0,0,0,0,0,0
931788,15362077,0,0,0,0,0,0,0,0,0
887125,15362077,0,0,0,0,0,0,0,0,0
846751,15362077,0,0,0,0,0,0,0,0,0
980141,15362077,0,0,0,0,0,0,0,0,0
