player_id,match_id,goals,assists,minutesplayed,saves,fouls,yellow_cards,red_cards,clean_sheet,goals_conceded
978557,15438836,0,0,90,1,0,0,0,0,0
892451,15438836,0,0,60,0,2,0,0,0,0
370226,15438836,0,0,90,0,0,0,0,0,0
978549,15438836,0,0,73,0,1,0,0,0,0
886239,15438836,0,0,90,0,1,0,0,0,0
892073,15438836,0,0,66,0,0,0,0,0,0
874988,15438836,0,0,90,0,2,0,0,0,0
46988,15438836,0,0,67,0,0,0,0,0,0
243459,15438836,0,0,80,0,1,0,0,0,0
839635,15438836,1,0,90,0,2,0,0,0,0
937859,15438836,0,1,90,0,0,0,0,0,0
828836,15438836,0,0,24,0,0,0,0,0,0
1650235,15438836,0,0,23,0,1,0,0,0,0
901019,15438836,0,0,17,0,0,0,0,0,0
1415942,15438836,0,0,10,0,0,0,0,0,0
1865454,15438836,0,0,0,0,0,0,0,0,0
1477144,15438836,0,0,0,0,0,0,0,0,0
255997,15438836,0,0,0,0,0,0,0,0,0
1477138,15438836,0,0,0,0,0,0,0,0,0
133862,15438836,0,0,0,0,0,0,0,0,0
176225,15438836,0,0,90,3,0,0,0,0,0
1086284,15438836,0,0,66,0,1,0,0,0,0
923740,15438836,0,0,80,0,0,0,0,0,0
1046624,15438836,0,0,90,0,0,0,0,0,0
2439111,15438836,0,0,76,0,2,0,0,0,0
250017,15438836,0,0,90,0,0,0,0,0,0
340553,15438836,1,0,90,0,2,0,0,0,0
976932,15438836,0,0,73,0,1,0,0,0,0
755394,15438836,0,0,66,0,1,0,0,0,0
588144,15438836,0,0,73,0,0,0,0,0,0
339855,15438836,1,1,90,0,0,0,0,0,0
1086281,15438836,0,0,24,0,0,0,0,0,0
1466382,15438836,0,0,24,0,0,0,0,0,0
960016,15438836,0,0,17,0,0,0,0,0,0
988299,15438836,0,0,17,0,0,0,0,0,0
922871,15438836,0,0,10,0,0,0,0,0,0
975245,15438836,0,0,0,0,0,0,0,0,0
2044019,15438836,0,0,0,0,0,0,0,0,0
1017760,15438836,0,0,0,0,0,0,0,0,0
944825,15438836,0,0,0,0,0,0,0,0,0
