player_id,match_id,goals,assists,minutesplayed,saves,fouls,yellow_cards,red_cards,clean_sheet,goals_conceded
883774,15438841,0,0,90,5,0,0,0,0,0
1121487,15438841,0,0,90,0,1,0,0,0,0
991108,15438841,0,0,34,0,0,0,0,0,0
874980,15438841,0,0,90,0,1,0,0,0,0
805366,15438841,0,0,90,0,3,0,0,0,0
976302,15438841,0,0,61,0,0,0,0,0,0
1170641,15438841,0,0,90,0,0,0,0,0,0
989228,15438841,0,0,61,0,0,0,0,0,0
1016974,15438841,0,1,85,0,0,0,0,0,0
1098306,15438841,0,0,90,0,3,0,0,0,0
883299,15438841,0,0,61,0,0,0,0,0,0
2125216,15438841,0,0,56,0,1,0,0,0,0
1089808,15438841,0,0,29,0,1,0,0,0,0
1022275,15438841,0,0,29,0,0,0,0,0,0
972824,15438841,1,0,29,0,1,0,0,0,0
883729,15438841,0,0,11,0,0,0,0,0,0
2454293,15438841,0,0,0,0,0,0,0,0,0
2454294,15438841,0,0,0,0,0,0,0,0,0
873706,15438841,0,0,0,0,0,0,0,0,0
914484,15438841,0,0,0,0,0,0,0,0,0
590180,15438841,0,0,90,3,0,0,0,0,0
975241,15438841,0,0,90,0,1,0,0,0,0
1627994,15438841,0,0,90,0,2,0,0,0,0
1017778,15438841,0,0,85,0,1,0,0,0,0
760636,15438841,0,0,90,0,0,0,0,0,0
1644875,15438841,0,0,68,0,1,0,0,0,0
1116337,15438841,0,0,90,0,1,0,0,0,0
939946,15438841,0,0,68,0,1,0,0,0,0
1159651,15438841,0,0,45,0,0,0,0,0,0
1800727,15438841,0,0,60,0,1,0,0,0,0
220439,15438841,0,0,90,0,1,0,0,0,0
974679,15438841,0,0,45,0,1,0,0,0,0
1107889,15438841,0,0,30,0,1,0,0,0,0
874981,15438841,0,0,22,0,0,0,0,0,0
1017756,15438841,0,0,22,0,1,0,0,0,0
1466550,15438841,0,0,11,0,0,0,0,0,0
162425,15438841,0,0,0,0,0,0,0,0,0
879621,15438841,0,0,0,0,0,0,0,0,0
1107891,15438841,0,0,0,0,0,0,0,0,0
1639672,15438841,0,0,0,0,0,0,0,0,0
