player_id,match_id,minutesplayed,goals,assists,saves,fouls,yellow_cards,red_cards,clean_sheet,goals_conceded
876932,15362081,90,0,0,2,0,0,0,0,0
876928,15362081,90,0,0,0,0,0,0,0,0
965761,15362081,73,0,0,0,1,0,0,0,0
874645,15362081,90,0,0,0,0,0,0,0,0
980889,15362081,90,0,0,0,3,0,0,0,0
883768,15362081,83,0,0,0,0,0,0,0,0
975708,15362081,83,0,0,0,1,0,0,0,0
879886,15362081,73,0,0,0,0,0,0,0,0
846742,15362081,90,1,0,0,0,0,0,0,0
869785,15362081,89,1,0,0,0,0,0,0,0
143886,15362081,90,0,0,0,1,0,0,0,0
957940,15362081,17,0,0,0,0,0,0,0,0
123245,15362081,17,0,0,0,1,0,0,0,0
944073,15362081,13,0,0,0,0,0,0,0,0
1159653,15362081,13,0,0,0,1,0,0,0,0
1466385,15362081,1,0,0,0,1,0,0,0,0
924765,15362081,0,0,0,0,0,0,0,0,0
1128886,15362081,0,0,0,0,0,0,0,0,0
883743,15362081,0,0,0,0,0,0,0,0,0
1176979,15362081,0,0,0,0,0,0,0,0,0
805264,15362081,90,0,0,2,0,0,0,0,0
830660,15362081,90,0,0,0,0,0,0,0,0
384260,15362081,90,0,0,0,3,0,0,0,0
845431,15362081,90,0,0,0,1,0,0,0,0
790018,15362081,82,0,0,0,0,0,0,0,0
830888,15362081,66,0,0,0,0,0,0,0,0
805065,15362081,90,0,0,0,0,0,0,0,0
931776,15362081,90,0,0,0,1,0,0,0,0
888377,15362081,45,0,0,0,0,0,0,0,0
1120902,15362081,66,0,0,0,0,0,0,0,0
107625,15362081,90,0,0,0,1,0,0,0,0
975540,15362081,45,0,0,0,1,0,0,0,0
2044305,15362081,24,0,0,0,0,0,0,0,0
1173448,15362081,24,0,0,0,0,0,0,0,0
1650560,15362081,8,0,0,0,0,0,0,0,0
922877,15362081,0,0,0,0,0,0,0,0,0
1106569,15362081,0,0,0,0,0,0,0,0,0
1466374,15362081,0,0,0,0,0,0,0,0,0
1107900,15362081,0,0,0,0,0,0,0,0,0
2366555,15362081,0,0,0,0,0,0,0,0,0
