player_id,match_id,goals,assists,minutesplayed,saves,fouls,yellow_cards,red_cards,clean_sheet,goals_conceded
978557,15590587,0,0,90,6,0,0,0,0,0
828836,15590587,0,1,90,0,0,0,0,0,0
370226,15590587,0,0,90,0,0,0,0,0,0
1128897,15590587,0,0,81,0,1,0,0,0,0
886239,15590587,0,0,90,0,0,0,0,0,0
892073,15590587,0,0,86,0,1,0,0,0,0
46988,15590587,0,0,73,0,0,0,0,0,0
345779,15590587,0,0,72,0,0,0,0,0,0
1477138,15590587,1,1,90,0,1,0,0,0,0
901019,15590587,1,0,90,0,1,0,0,0,0
133862,15590587,1,0,81,0,0,0,0,0,0
255997,15590587,0,0,18,0,0,0,0,0,0
874988,15590587,0,0,17,0,2,0,0,0,0
892451,15590587,0,0,9,0,0,0,0,0,0
1477144,15590587,0,0,9,0,0,0,0,0,0
243459,15590587,0,0,16,0,0,0,0,0,0
1865454,15590587,0,0,0,0,0,0,0,0,0
1502585,15590587,0,0,0,0,0,0,0,0,0
1464244,15590587,0,0,0,0,0,0,0,0,0
839635,15590587,0,0,0,0,0,0,0,0,0
590180,15590587,0,0,90,6,0,0,0,0,0
975241,15590587,0,0,90,0,3,0,0,0,0
1197978,15590587,0,0,89,0,3,0,0,0,0
1018422,15590587,0,0,53,0,2,0,0,0,0
760636,15590587,0,0,90,0,0,0,0,0,0
1170472,15590587,0,0,67,0,1,0,0,0,0
939946,15590587,0,1,90,0,0,0,0,0,0
1523086,15590587,0,0,45,0,1,0,0,0,0
1116337,15590587,0,0,58,0,1,0,0,0,0
220439,15590587,0,0,79,0,0,0,0,0,0
1800727,15590587,0,0,45,0,2,0,0,0,0
1109858,15590587,0,0,45,0,1,0,0,0,0
974679,15590587,1,0,45,0,0,0,0,0,0
879621,15590587,0,0,32,0,0,0,0,0,0
1644875,15590587,0,0,23,0,0,0,0,0,0
1107889,15590587,0,0,11,0,0,0,0,0,0
162425,15590587,0,0,0,0,0,0,0,0,0
1017778,15590587,0,0,0,0,0,0,0,0,0
874981,15590587,0,0,0,0,0,0,0,0,0
1017756,15590587,0,0,0,0,0,0,0,0,0
